行业名称,行业编码,证券市场,国家,地区,行业指数,大盘指数,行业龙头,公司与股票代码列表
农业,HBA,,,,,,,
采掘,HBB,,,,,,,
制造业,HBC,,,,,,,
水电煤气,HBD,,,,,,,
建筑业,HBE,,,,,,,
批发和零售业,HBF,,,,,,,
交通运输、仓储和邮政业,HBG,,,,,,,
住宿和餐饮业,HBH,,,,,,,
信息传输、软件和信息技术服务业,HBI,,,,,,,
金融保险,HBJ,,,,,,,
房地产业,HBK,,,,,,,
租赁和商务服务业,HBL,,,,,,,
科学研究和技术服务业,HBM,,,,,,,
水利、环境和公共设施管理业,HBN,,,,,,,
居民服务、修理和其他服务业,HBO,,,,,,,
教育,HBP,,,,,,,
卫生和社会工作,HBQ,,,,,,,
文化、体育和娱乐业,HBR,,,,,,,
综合,HBS,,,,,,,
食品饮料,HBT,,,,,,,
纺织服装,HBU,,,,,,,
木材家具,HBV,,,,,,,
造纸印刷,HBW,,,,,,,
石化塑胶,HBX,,,,,,,
电子,HBY,,,,,,,
金融非金属,HBZ,,,,,,,
机械设备,HBAA,,,,,,,
医药生物,HBAB,,,,,,,
